|none.wav|0|Single
minionsuicide_neutral_1|monster\minion\suicideneutral1.wav|1332|Group:4
druid_hit_4|combat\player\druid\gethit4.wav|2929|Single
impact_blade_swing_5|combat\impact\sword5.wav|345|Single
malah_act5_q5_after|Act5\Malah\mal_act5_q5_after.wav|4526|Single
tentaclehead_hit_5|none.wav|1942|Single
alkor_act3_gossip_9|act3\alkor\alk_act3_gossip_09.wav|3539|Single
fingermage_bolt_cast_3|monster\fingermage\cast3.wav|955|Single
object_corpse_drop|object\corpsefall.wav|2552|Single
lysander_act2_q6_success|act2\lysander\lys_act2_q6_successful.wav|4149|Single
reanimatedhorde_death_3|monster\reanimatedhorde\death3.wav|1565|Single
necromancer_act5_find_mountaintop|act5\necromancer\nec_act5_entry_mountaintop.wav|3162|Single
beetle_hit_2|monster\beetle\gethit2.wav|578|Single
zakarumpriest_cast_2|monster\zakarumpriest\cast2.wav|2175|Single
charsi_act1_q5_success|act1\charsi\cha_act1_q5_successful.wav|3772|Single
imp_missile_2|none.wav|1188|Single
medium_walk_snow_2|ambient\footstep\MedSnow2.wav|2785|Single
event_wild_night_5|ambient\event\birdienight5.wav|201|Single
anya_greeting_inactive_1|Act5\Anya\any_canihelpyou.wav|4382|Group:3
skeleton_cast_fire|monster\skeleton\firemage.wav|1798|Single
assassin_act5_find_nihlathak|act5\assassin\ass_act5_entry_nihlathaksland.wav|3395|Single
druidspirit_death_2|monster\oaksage\death2.wav|811|Single
sorceress_energyshield_hit_4|skill\sorceress\energyshieldhit4.wav|2408|Single
hratli_act3_gossip_8|act3\hratli\hra_act3_gossip_08.wav|4005|Single
overseer_whipcrack_2|monster\overseer\whipcrack2.wav|1421|Single
barbarian_chat_b_2|common\barbarian\bar_comeon.wav|3018|Single
monster_lightning_2|skill\sorceress\lightning2.wav|434|Single
hireable_female_thank_you|common\hireables\female_thankyou.wav|4615|Single
vilechild_attack_1|monster\vilechild\attack1.wav|2031|Group:5
atma_act2_gossip_8|act2\atma\atm_act2_gossip_09.wav|3628|Single
golemblood_hit_1|monster\golemblood\gethit1.wav|1044|Group:4
object_wanderer_fissure|object\fissure2.wav|2641|Single
scene_desert_night|ambient\scene\desertnight.wav|57|Single
natalya_act3_q4_after|act3\natalya\nat_act3_q1_after.wav|4238|Single
sandmaggotbaby_neutral_1|monster\sandmaggotbaby\neutral1.wav|1654|Group:6
sorceress_chat_b_1|common\sorceress\sor_followme.wav|3251|Group:2
compellingorb_loop|monster\compellingorb\loop.wav|667|Single
amazon_multi_arrow_4|skill\amazon\multi4.wav|2264|Single
fara_act2_gossip_pal|act2\fara\far_act2_gossip_pal.wav|3861|Single
megademon_death_4|monster\megademon\death4.wav|1277|Single
walk_hoof_1|ambient\footstep\hoof1.wav|2874|Group:4
weapon_1ht_5|combat\weapon\one hand thrust05.wav|290|Single
larzuk_act5_q1_success|Act5\Larzuk\lar_act5_q1_successful.wav|4471|Single
succubus_death_4|monster\succubus\death4.wav|1887|Single
akara_greeting_return|act1\akara\aka_welcomeback.wav|3484|Single
fallen_death_1|monster\fallen\death1.wav|900|Group:7
barbarian_findobject_2|skill\barbarian\find2.wav|2497|Single
kashya_act1_gossip_ama|act1\kashya\kas_act1_gossip_ama.wav|4094|Single
pygmy_neutral_1|monster\pygmy\neutral1.wav|1510|Group:4
necromancer_chat_h_1|common\necromancer\nec_runaway.wav|3107|Group:2
baboondemon_neutral_4|monster\baboondemon\neutral5.wav|523|Single
willowisp_lightning_cast_4|monster\willowisp\cast4.wav|2120|Single
cain_act3_q5_after|act3\cain\cain_act3_q5_after.wav|3717|Single
guard_hit_2|monster\guard\gethit2.wav|1133|Single
light_walk_ostone_3|ambient\footstep\LightOStone3.wav|2730|Single
event_lava_4|ambient\event\scream4.wav|146|Single
warriv_act1_gossip_1|act1\warriv\war_act1_gossip_01.wav|4327|Single
serpentdemon_death_4|monster\serpentdemon\death4.wav|1743|Single
assassin_chat_g_2|common\assassin\ass_timetodie.wav|3340|Single
diablo_boneprison_death_1|monster\diabloboneprison\death1.wav|756|Group:3
paladin_aura_blessedaim|skill\paladin\blessedaim.wav|2353|Single
greiz_greeting_2|act2\griez\gre_needsomehelp.wav|3950|Single
mosquito_hit_1|monster\mosquito\gethit1.wav|1366|Group:5
amazon_act1_complete_den|act1\amazon\ama_act1_complete_denofevil.wav|2963|Single
impact_double_1|combat\impact\double1.wav|379|Group:3
nihlathak_hurryup|Act5\Nihlathak\nih_bequickaboutit.wav|4560|Single
trappedsoul_attack_5|monster\trappedsoul\attack5.wav|1976|Single
asheara_greeting_inactive_1|act3\asheara\ash_whatdoyouneed.wav|3573|Group:2
frogdemon_hit_4|monster\frogdemon\gethit4.wav|989|Single
object_gidbinn_decoy|object\gidbinndecoy.wav|2586|Single
cursor_select|cursor\select.wav|2|Single
meshif_act3_gossip_1|act3\meshif\mes_act3_gossip_01.wav|4183|Single
regurgitator_eat_1|monster\regurgitator\eat1.wav|1599|Group:3
paladin_act1_complete_burial|act1\paladin\pal_act1_complete_burialground.wav|3196|Single
bloodlord_neutral_4|none.wav|612|Single
zombie_hit_1|monster\zombie\gethit1.wav|2209|Group:6
drognan_act2_q4_success|act2\drognan\dro_act2_q4_successful.wav|3806|Single
leaper_leap_4|monster\leaper\attacklong4.wav|1222|Single
heavy_walk_dirt_4|ambient\footstep\HeavyDirt4.wav|2819|Single
item_pickup|cursor\pickup.wav|235|Single
anya_act5_q6_early|Act5\Anya\any_act5_q6_early.wav|4416|Single
spider_web_3|monster\spider\goo03.wav|1832|Single
druid_act1_complete_andariel|act1\druid\dru_act1_complete_andariel.wav|3429|Single
druidwerebear_neutral_4|none.wav|845|Single
sorceress_telekinesis|skill\sorceress\telekinesis.wav|2442|Single
ironwolf_will_do_2|act3\ironwolf\iron_willdo2.wav|4039|Single
pinhead_attack_6|monster\pinhead\attack6.wav|1455|Single
barbarian_act1_find_tristram|act1\barbarian\bar_act1_find_tristram.wav|3052|Single
baal_hit_1|monster\baal\gethit1.wav|468|Group:4
monster_smith_taunt_1|act1\monster\smithtaunt2.wav|4649|Single
vilemother_neutral_1|monster\vilemother\neutral1.wav|2065|Group:5
cain_act1_q4_tragedy|act1\cain\cain_act1_q4_tragedyoftristram.wav|3662|Single
golemfire_walk_1|monster\golemfire\firewalk1.wav|1078|Group:4
shrine_resistfire|object\shrine\resistfire.wav|2675|Single
event_cave_5|ambient\event\drip5.wav|91|Single
ormus_act3_q2_early|act3\ormus\orm_act3_q2_early.wav|4272|Single
sandraider_attack_6|monster\sandraider\attack6.wav|1688|Single
sorceress_act1_find_tree|act1\sorceress\sor_act1_find_treeofinifuss.wav|3285|Single
countess_hit_4|monster\countess\gethit4.wav|701|Single
assassin_chargeup_tiger_2|skill\assassin\tigerb.wav|2298|Single
geglash_act2_intro|act2\geglash\geg_act2_intro.wav|3895|Single
minion_death_b1|monster\minion\deathB1.wav|1311|Group:3
barbarian_death_2|combat\player\barbarian\death2.wav|2908|Single
impact_punch_4|combat\impact\blow4.wav|324|Single
malah_act5_gossip_10|Act5\Malah\mal_act5_10.wav|4505|Single
tentacle_hit_3|monster\tentacle\gethit3.wav|1921|Single
akara_act1_q5_early|act1\akara\aka_act1_q5_early.wav|3518|Single
fallenshaman_neutral_1|monster\fallenshaman\neutral1.wav|934|Group:4
barbarian_whirlwind|skill\barbarian\whirlwind1.wav|2531|Single
lysander_act2_gossip_3|act2\lysander\lys_act2_gossip_03.wav|4128|Single
pygmyshaman_spell_2|monster\pygmyshaman\spell2.wav|1544|Single
necromancer_act2_find_radament|act2\necromancer\nec_act2_entry_radamentlair.wav|3141|Single
bighead_attack_3|monster\bighead\attack3.wav|557|Single
yeti_neutral_1|monster\yeti\neutral1.wav|2154|Group:4
charsi_act1_gossip_6|act1\charsi\cha_act1_gossip_06.wav|3751|Single
hydra_appear_2|monster\hydra\appear2.wav|1167|Single
light_run_wood_1|ambient\footstep\LightWoodRun1.wav|2764|Group:4
event_town_2_night_4|ambient\event\desertinsect3.wav|180|Single
warriv_act2_gossip_4|act2\warriv\war_act2_gossip_04.wav|4361|Single
skeleton_hit_4|monster\skeleton\gethit4.wav|1777|Single
assassin_act2_find_clawviper|act2\assassin\ass_act2_entry_clawviperlair.wav|3374|Single
druidpod_death_1|monster\druidpod\death01.wav|790|Group:5
paladin_holyshield|skill\paladin\holyshield.wav|2387|Single
guard_hey_hero|act2\guard\gua_heyhero.wav|3984|Single
overseer_hit_1|monster\overseer\gethit6.wav|1400|Group:5
amazon_act3_find_blackened|act3\amazon\ama_act3_find_blackenedtemple.wav|2997|Single
cairn_stone_1|object\cairnloop1.wav|413|Single
qualkehk_act5_q4_early|Act5\Qual-Kehk\qua_act5_q4_early.wav|4594|Single
undeadhorror_neutral_2|monster\undeadhorror\neutral2.wav|2010|Single
asheara_act3_q5_success|act3\asheara\ash_act3_q5_successful.wav|3607|Single
gargoyletrap_death_2|monster\gargoyletrap\death4.wav|1023|Single
object_stash_hell_3|object\hellstash3.wav|2620|Single
quest_hellforge_soul_1|quest\soulrise1.wav|36|Group:3
natalya_greeting_1|act3\natalya\nat_hello.wav|4217|Group:2
sandmaggot_spit_3|monster\sandmaggot\spit3.wav|1633|Single
paladin_act3_find_beneath|act3\paladin\pal_act3_find_beneathcity.wav|3230|Single
breakablewall_hit_2|none.wav|646|Single
amazon_firearrow_2|skill\amazon\firearrow2.wav|2243|Single
elzix_act2_q5_early|act2\elzix\elz_act2_q5_early.wav|3840|Single
lightningorb_attack_4|monster\lightningorb\attack4.wav|1256|Single
heavy_run_sand_2|ambient\footstep\HeavySandRun2.wav|2853|Single
weapon_1hs_large_2|combat\weapon\one hand swing large14.wav|269|Single
larzuk_greeting_inactive_2|Act5\Larzuk\lar_atyourservice.wav|4450|Single
spikefiend_shoot_1|monster\spikefiend\shoot1.wav|1866|Group:4
druid_act3_complete_lamesen|act3\druid\dru_act3_complete_lamesentome.wav|3463|Single
duriel_attack_4|monster\duriel\attack4.wav|879|Single
necromancer_revive_target|skill\necromancer\revivetarget.wav|2476|Single
jerhyn_act2_q5_success|act2\jerhyn\jer_act2_q5_successful.wav|4073|Single
putriddefiler_neutral_4|monster\putriddefiler\neutral4.wav|1489|Single
barbarian_act5_defeat_overseer|act5\barbarian\bar_act5_complete_stopsiege.wav|3086|Single
baaltentacle_appear_3|monster\baaltentacle\appear3.wav|502|Single
music_xtemple|act5\xtemple.wav|4683|Single
vulturedemon_wing_5|monster\vulturedemon\bigflap5.wav|2099|Single
cain_act3_gossip_2|act3\cain\cain_act3_gossip_02.wav|3696|Single
greatermummy_neutral_1|monster\greatermummy\neutral1.wav|1112|Group:6
creature_larva_2|ambient\creature\larvae2.wav|2709|Single
event_jungle_night_3|ambient\event\junglebeastie3.wav|125|Single
tyrael_greeting_time_1|act4\tyreal\tyr_goodmorning.wav|4306|Single
serpentdemon_attack_1|monster\serpentdemon\attack1.wav|1722|Group:6
sorceress_act5_find_worldstone|act5\sorceress\sor_act5_entry_worldstone.wav|3319|Single
diablo_attack_3|monster\diablo\attack3.wav|735|Single
druid_cyclonearmor|skill\druid\cyclonearmor.wav|2332|Single
gheed_act1_q1_after|act1\gheed\ghe_act1_q1_after.wav|3929|Single
moo_hit_4|monster\moo\gethit4.wav|1345|Single
amazon_chat_c_2|common\amazon\ama_thisisyours.wav|2942|Single
impact_fire_layer_3|combat\impact\singe3.wav|358|Single
nihlathak_greeting_time_3|Act5\Nihlathak\nih_what.wav|4539|Single
tentaclehead_missile_3|monster\tentaclehead\goomissile3.wav|1955|Single
alkor_act3_q3_early|act3\alkor\alk_act3_q4_early.wav|3552|Single
firespike_hit_2|none.wav|968|Single
object_door_secret|object\secretdoor.wav|2565|Single
meshif_act2_gossip_5|act2\meshif\mes_act2_gossip_05.wav|4162|Single
reanimatedhorde_neutral_5|monster\reanimatedhorde\neutral5.wav|1578|Single
paladin_chat_c_1|common\paladin\pal_thisforyou.wav|3175|Group:2
bladecreeper_emerge_3|monster\bladecreeper\throw3.wav|591|Single
zakarumzealot_attack_2|monster\zakarumzealot\attack2.wav|2188|Single
drognan_act2_gossip_1|act2\drognan\dro_act2_gossip_01.wav|3785|Single
izual_attack_1|monster\izual\attack1.wav|1201|Group:4
medium_run_istone_3|ambient\footstep\MedIStoneRun3.wav|2798|Single
item_charm|item\charm.wav|214|Single
anya_act5_gossip_7|Act5\Anya\any_act5_gossip_07.wav|4395|Single
smith_attack_6|monster\smith\attack6.wav|1811|Single
druid_chat_b_2|common\druid\dru_comeon.wav|3408|Single
druidwolf_attack_3|monster\druidwolf\attack3.wav|824|Single
sorceress_fireball_impact_3|skill\sorceress\boom3.wav|2421|Single
hratli_act3_q3_early|act3\hratli\hra_act3_q4_early.wav|4018|Single
pantherwoman_attack_2|monster\pantherwoman\attack2.wav|1434|Single
barbarian_impossible_1|common\barbarian\bar_impossible.wav|3031|Group:2
andariel_death|monster\andariel\death.wav|447|Single
hireable_male_thanks_4|common\hireables\male_thankyou3.wav|4628|Single
vilechild_death_4|monster\vilechild\death4.wav|2044|Single
atma_act2_q5_success|act2\atma\atm_act2_q5_successful.wav|3641|Single
golemclay_attack_4|monster\golemclay\attack4.wav|1057|Single
object_summitdoor|object\summitdoor.wav|2654|Single
scene_wilderness_day|ambient\scene\wilderness day 2.wav|70|Single
ormus_greeting_return|act3\ormus\orm_goodtoseeyouagain.wav|4251|Single
sandmaggotegg_neutral_4|monster\sandmaggotegg\neutral4.wav|1667|Single
sorceress_chat_h_2|common\sorceress\sor_run.wav|3264|Single
corrupt_hit_5|monster\corrupt\gethit5.wav|680|Single
assassin_bladefury_hit|skill\assassin\bladefuryhit.wav|2277|Single
fara_act2_q5_success|act2\fara\far_act2_q5_successful.wav|3874|Single
mephisto_hit_3|monster\mephisto\gethit3.wav|1290|Single
paladin_hit_2|combat\player\paladin\soft2.wav|2887|Single
weapon_staff_6|combat\weapon\staff blunt06.wav|303|Single
larzuk_act5_q5_success|Act5\Larzuk\lar_act5_q5_successful.wav|4484|Single
summoner_hit_2|monster\summoner\gethit2.wav|1900|Single
akara_act1_gossip_10|act1\akara\aka_act1_gossip_10.wav|3497|Single
fallen_warcry_1|monster\fallen\warcry1.wav|913|Group:4
barbarian_grunt_large_3|skill\barbarian\grunt203.wav|2510|Single
kashya_act1_q4_after_scroll|act1\kashya\kas_act1_q4_after_scroll.wav|4107|Single
pygmyshaman_attack_4|monster\pygmyshaman\attack4.wav|1523|Single
necromancer_act1_complete_tools|act1\necromancer\nec_act1_complete_toolsoftrade.wav|3120|Single
batdemon_attack_5|monster\batdemon\attack5.wav|536|Single
wraith_death_1|monster\wraith\death1.wav|2133|Group:4
cain_act4_q1_success|act4\cain\cain_act4_q1_successful.wav|3730|Single
hawk_attack_4|monster\hawk\attack4.wav|1146|Single
light_walk_wood_4|ambient\footstep\LightWood4.wav|2743|Single
event_monastery_3|ambient\event\raven3.wav|159|Single
warriv_act1_q1_success|act1\warriv\war_act1_q1_successful.wav|4340|Single
siegebeast_stomp_3|none.wav|1756|Single
assassin_act1_complete_den|act1\assassin\ass_act1_complete_denofevil.wav|3353|Single
druidbear_attack_2|monster\druidbear\attack10.wav|769|Single
paladin_aura_resistcold|skill\paladin\resistcold.wav|2366|Single
greiz_act2_gossip_7|act2\griez\gre_act2_gossip_07.wav|3963|Single
mummy_attack_4|monster\mummy\attack4.wav|1379|Single
amazon_act1_rescue_cain|act1\amazon\ama_act1_rescue_cain.wav|2976|Single
impact_goo_2|combat\impact\goohit2.wav|392|Single
qualkehk_act5_gossip_4|Act5\Qual-Kehk\qua_act5_04.wav|4573|Single
trappedsoul_up_4|monster\trappedsoul\up4.wav|1989|Single
asheara_act3_gossip_8|act3\asheara\ash_act3_gossip_08.wav|3586|Single
frozenhorror_attack_4|monster\frozenhorror\attack4.wav|1002|Single
object_river|object\riverloop.wav|2599|Single
cursor_repair_item|cursor\repair.wav|15|Single
meshif_act3_q1_early|act3\meshif\mes_act3_q3_early.wav|4196|Single
sandmaggot_attack_4|monster\sandmaggot\attack4.wav|1612|Single
paladin_act1_find_wilderness|act1\paladin\pal_act1_entry_wilderness.wav|3209|Single
bonefetish_attack_4|monster\bonefetish\attack4.wav|625|Single
zombie_neutral_4|monster\zombie\neutral7.wav|2222|Single
elzix_act2_gossip_1|act2\elzix\elz_act2_gossip_01.wav|3819|Single
leaper_neutral_2|monster\leaper\neutral2.wav|1235|Single
heavy_walk_snow_1|ambient\footstep\HeavySnow1.wav|2832|Group:4
item_whip|item\whip.wav|248|Single
cain_act5_q1_early|Act5\Cain\cain_act5_q1_early.wav|4429|Single
spider_death_4|monster\spider\death4.wav|1845|Single
druid_act1_find_tristram|act1\druid\dru_act1_find_tristram.wav|3442|Single
druidwerewolf_attack_2|monster\werewolf\attack13.wav|858|Single
necromancer_bonewall_death|skill\necromancer\bonewalldestroyed.wav|2455|Single
jerhyn_greeting_inactive_2|act2\jerhyn\jer_yes.wav|4052|Single
pinhead_neutral_3|monster\pinhead\neutral3.wav|1468|Single
barbarian_act2_find_tomb_decoy|act2\barbarian\bar_act2_find_decoytomb.wav|3065|Single
baalminion_attack_2|monster\baalminion\attack2.wav|481|Single
music_jungle|act3\jungle.wav|4662|Single
vulturedemon_attack_5|monster\vulturedemon\attack5.wav|2078|Single
cain_act2_gossip_4|act2\cain\cain_act2_gossip04.wav|3675|Single
golemiron_spawn|monster\golemiron\spawniron.wav|1091|Single
creature_bug_1|ambient\creature\bug1.wav|2688|Group:4
event_desert_day_5|ambient\event\desertinsect2.wav|104|Single
ormus_act3_q6_after|act3\ormus\orm_act3_q6_after.wav|4285|Single
sandraider_neutral_3|monster\sandraider\neutral3.wav|1701|Single
sorceress_act2_find_summoner|act2\sorceress\sor_act2_find_summoner.wav|3298|Single
deathmauler_hit_4|monster\deathmauler\gethit4.wav|714|Single
assassin_shadow_death_4|none.wav|2311|Single
geglash_act2_q6_after|act2\geglash\geg_act2_q6_after.wav|3908|Single
minion_neutral_1|monster\minion\neutral1.wav|1324|Group:8
assassin_hit_4|combat\player\assassin\gethit13.wav|2921|Single
impact_blade_thrust_3|combat\impact\stab3.wav|337|Single
malah_act5_q3_after|Act5\Malah\mal_act5_q3_after.wav|4518|Single
tentaclehead_attack_2|monster\tentaclehead\attack2.wav|1934|Single
alkor_act3_gossip_1|act3\alkor\alk_act3_gossip_01.wav|3531|Single
fingermage_hit_3|monster\fingermage\gethit3.wav|947|Single
object_bubbles|object\bubbles.wav|2544|Single
lysander_act2_q3_early|act2\lysander\lys_act2_q3_early.wav|4141|Single
reanimatedhorde_hit_2|monster\reanimatedhorde\gethit2.wav|1557|Single
necromancer_act3_find_drain|act3\necromancer\nec_act3_find_drainlever.wav|3154|Single
bighead_neutral_4|monster\bighead\neutral4.wav|570|Single
zakarumhigh_death_2|monster\zakarumhighpriest\death2.wav|2167|Single
charsi_act1_q3_success|act1\charsi\cha_act1_q3_successful.wav|3764|Single
imp_hit_2|monster\imp\gethit2.wav|1180|Single
medium_walk_ostone_2|ambient\footstep\MedOStone2.wav|2777|Single
event_wild_day_2|ambient\event\birdie06.wav|193|Single
warriv_act2_q5_early|act2\warriv\war_act2_q5_early.wav|4374|Single
skeleton_walk_5|monster\skeleton\walk5.wav|1790|Single
assassin_act3_find_blackened|act3\assassin\ass_act3_find_blackenedtemple.wav|3387|Single
druidpod_walk1_5|monster\druidpod\podwalk15.wav|803|Single
sorceress_chargedbolt_1|skill\sorceress\chargedbolt1.wav|2400|Group:1
hratli_greeting_time_3|act3\hratli\hra_goodevening.wav|3997|Single
overseer_neutral_3|monster\overseer\neutral3.wav|1413|Single
amazon_act5_defeat_nihlathak|act5\amazon\ama_act5_complete_nihlathaksecret.wav|3010|Single
monster_firebolt_1|skill\sorceress\firebolt1.wav|426|Group:3
wussie_help_me|act5\soldier\sol_helpus.wav|4607|Group:4
vampire_death_3|monster\vampire\death3.wav|2023|Single
atma_greeting_time_3|act2\atma\atm_goodevening.wav|3620|Single
goatman_death_4|monster\goatman\death4.wav|1036|Single
object_townportal|object\portalopen.wav|2633|Single
quest_tainted_sun_ball_1|quest\ball1.wav|49|Group:3
natalya_act3_q1_early|act3\natalya\nat_act3_q3_early.wav|4230|Single
sandmaggotbaby_hit_5|monster\sandmaggotbaby\gethit5.wav|1646|Single
paladin_act5_rescued_wussies|act5\paladin\pal_act5_rescue_qualkehksoldiers.wav|3243|Single
catapult_hit_4|monster\catapult\gethit4.wav|659|Single
amazon_lightning_2|skill\amazon\zeus2.wav|2256|Single
fara_act2_gossip_1|act2\fara\far_act2_gossip_01.wav|3853|Single
megademon_hit_2|monster\megademon\gethit2.wav|1269|Single
walk_flesh_3|ambient\footstep\flesh3.wav|2866|Single
weapon_2hs_large_3|combat\weapon\two hand swing large03.wav|282|Single
larzuk_act5_gossip_8|Act5\Larzuk\lar_act5_08.wav|4463|Single
succubus_hit_1|monster\succubus\gethit1.wav|1879|Group:5
druid_act5_defeat_overseer|act5\druid\dru_act5_complete_stopsiege.wav|3476|Single
fallen_attack_3|monster\fallen\roar5.wav|892|Single
barbarian_battleorders_3|skill\barbarian\order3.wav|2489|Single
kashya_act1_gossip_2|act1\kashya\kas_act1_gossip_02.wav|4086|Single
pygmy_hit_5|monster\pygmy\gethit5.wav|1502|Single
necromancer_chat_d_1|common\necromancer\nec_thanks.wav|3099|Group:2
baboondemon_death_1|monster\baboondemon\death1.wav|515|Group:5
music_quest_baal|act5\baalmusic.wav|4696|Single
willowisp_death_4|monster\willowisp\death4.wav|2112|Single
cain_act3_q2_earlyheart|act3\cain\cain_act3_q2a_earlyheart.wav|3709|Single
greatermummy_resurrect_3|monster\greatermummy\spell3.wav|1125|Single
light_walk_dirt_3|ambient\footstep\LightDirt3.wav|2722|Single
event_lair_1|ambient\event\moan1.wav|138|Group:5
tyrael_act4_q2_successexp|act4\tyreal\tyr_act4_q2_successfulExp.wav|4319|Single
serpentdemon_hit_2|monster\serpentdemon\gethit2.wav|1735|Single
assassin_chat_c_2|common\assassin\ass_thisyours.wav|3332|Single
diablo_neutral_1|none.wav|748|Group:6
druid_meteor_explode_6|combat\explosion\explosionlarge5.wav|2345|Single
gheed_act1_q4_success_scroll|act1\gheed\ghe_act1_q4_successful_scroll.wav|3942|Single
mosquito_attack_3|monster\mosquito\attack3.wav|1358|Single
amazon_needkey_1|common\amazon\ama_needkey.wav|2955|Group:2
impact_lightning_4|combat\impact\zap4.wav|371|Single
nihlathak_act5_q1_early|Act5\Nihlathak\nih_act5_q1_early.wav|4552|Single
thornhulk_death_4|monster\thornhulk\death4.wav|1968|Single
alkor_act3_q6_after_va|act3\alkor\alk_act3_q6_after_va.wav|3565|Single
frogdemon_attack_2|monster\frogdemon\attack2.wav|981|Single
object_fire_loop_torch|object\fire4.wav|2578|Single
meshif_act2_q3_success|act2\meshif\mes_act2_q3_successful.wav|4175|Single
regurgitator_death_1|monster\regurgitator\death1.wav|1591|Group:4
paladin_impossible_2|common\paladin\pal_icant.wav|3188|Single
bloodlord_hit_4|monster\bloodlord\gethit4.wav|604|Single
zakarumzealot_neutral_3|monster\zakarumzealot\neutral3.wav|2201|Single
drognan_act2_q1_early|act2\drognan\dro_act2_q1_early.wav|3798|Single
jamella_spell|monster\npc\jamellaspell.wav|1214|Single
medium_run_snow_4|ambient\footstep\MedSnowRun4.wav|2811|Single
item_key|item\key.wav|227|Single
anya_act5_q3_success|Act5\Anya\any_act5_q3_successful.wav|4408|Single
spider_attack_6|monster\spider\attack6.wav|1824|Single
druid_impossible_1|common\druid\dru_impossible.wav|3421|Group:2
druidwolf_hit_5|monster\druidwolf\gethit5.wav|837|Single
sorceress_lightning_1|skill\sorceress\lightning1.wav|2434|Group:3
hratli_act3_q6_early|act3\hratli\hra_act3_q6_early.wav|4031|Single
pantherwoman_neutral_3|monster\pantherwoman\neutral3.wav|1447|Single
barbarian_act1_find_burial|act1\barbarian\bar_act1_entry_burialground.wav|3044|Single
baal_attack_4|none.wav|460|Single
monster_duriel_taunt_1|act2\monster\durieltaunt1.wav|4641|Group:1
vilemother_hit_2|monster\vilemother\gethit2.wav|2057|Single
cain_act1_gossip_3|act1\cain\cain_act1_gossip_03.wav|3654|Single
golemfire_attack_3|monster\golemfire\attack3.wav|1070|Single
shrine_experience|object\shrine\experience.wav|2667|Single
event_catacombs_2|ambient\event\scream2.wav|83|Single
ormus_act3_gossip_10|act3\ormus\orm_act3_gossip_10.wav|4264|Single
sandmaggotmama_goo_hit_3|monster\sandmaggotmama\goohit3.wav|1680|Single
sorceress_act1_complete_tower|act1\sorceress\sor_act1_complete_forgottentower.wav|3277|Single
countess_attack_1|monster\countess\attack1.wav|693|Group:5
assassin_chargeup_ice_3|none.wav|2290|Single
geglash_act2_gossip_2|act2\geglash\geg_act2_gossip_02.wav|3887|Single
minion_hit_2|monster\minion\gethit2.wav|1303|Single
necromancer_death_2|combat\player\necromancer\death3.wav|2900|Single
weapon_bow_draw_3|combat\weapon\pull3.wav|316|Single
malah_act5_gossip_2|Act5\Malah\mal_act5_02.wav|4497|Single
swarm_loop|monster\swarm\swarmloop1.wav|1913|Single
akara_act1_q3_success|act1\akara\aka_act1_q3_successful.wav|3510|Single
fallenshaman_hit_1|monster\fallenshaman\gethit1.wav|926|Group:4
barbarian_shout_3|skill\barbarian\shout3.wav|2523|Single
lysander_greeting_inactive_1|act2\lysander\lys_welcometomyshop.wav|4120|Group:2
pygmyshaman_death_6|monster\pygmyshaman\death6.wav|1536|Single
necromancer_act2_begin_tainted|act2\necromancer\nec_act2_begin_taintedsun.wav|3133|Single
batdemon_unhide_1|monster\batdemon\unhide1.wav|549|Group:3
yeti_hit_1|monster\yeti\gethit1.wav|2146|Group:4
charsi_greeting_time_1|act1\charsi\cha_goodmorning.wav|3743|Single
hawknest_loop|monster\hawknest\loop1.wav|1159|Single
light_run_sand_1|ambient\footstep\LightSandRun1.wav|2756|Group:4
event_town_2_day_1|ambient\event\desertinsectloop1.wav|172|Group:5
warriv_act1_q5_early|act1\warriv\war_act1_q5_early.wav|4353|Single
siegebeast_neutral_1|monster\siegebeast\neutral1.wav|1769|Group:5
assassin_act1_rescue_cain|act1\assassin\ass_act1_rescue_cain.wav|3366|Single
druidbear_hit_4|monster\druidbear\gethit11.wav|782|Single
paladin_handofgod_bolt|skill\paladin\handofgodbolt.wav|2379|Single
greiz_act2_q4_after|act2\griez\gre_act2_q4_after.wav|3976|Single
mummy_neutral_2|monster\mummy\neutral2.wav|1392|Single
amazon_act2_near_tightspot|act2\amazon\ama_act2_near_tightspot.wav|2989|Single
explosion_small_2|combat\explosion\explosionsmall3.wav|405|Single
qualkehk_act5_q2_early|Act5\Qual-Kehk\qua_act5_q2_early.wav|4586|Single
undeadhorror_hit_2|monster\undeadhorror\gethit2.wav|2002|Single
asheara_act3_q3_success|act3\asheara\ash_act3_q4_successful.wav|3599|Single
frozenhorror_neutral_3|monster\frozenhorror\neutral3.wav|1015|Single
object_skullpile_1|object\skullpile1.wav|2612|Group:5
quest_anyaicevent|quest\anyaicevent.wav|28|Single
meshif_act3_q5_early_va|act3\meshif\mes_act3_q5_early_va.wav|4209|Single
sandmaggot_neutral_1|monster\sandmaggot\neutral1.wav|1625|Group:6
paladin_act2_find_tomb_true|act2\paladin\pal_act2_find_truetomb.wav|3222|Single
bonefetish_walk_1|monster\bonefetish\walk1.wav|638|Group:6
amazon_coldarrow_3|skill\amazon\coldarrow3.wav|2235|Single
elzix_act2_q1_early|act2\elzix\elz_act2_q1_early.wav|3832|Single
lightninggenerator_emerge_1|none.wav|1248|Single
heavy_run_istone_2|ambient\footstep\HeavyIStoneRun2.wav|2845|Single
weapon_throw_3|combat\weapon\two hand swing small08.wav|261|Single
